categoria,descripcion,enlace,precio,precioOferta,precioPrevio,precio_Kg_L_ud,promocion,seccion
Bio en Dulce y Desayuno,"
Barritas de cereales con chocolate ecológicas Carrefour Bio 125 g.",https://www.carrefour.es/supermercado/barritas-de-cereales-con-chocolate-ecologicas-carrefour-bio-125-g-carrefour-bio/R-649302161/p?prtId=cat20010,"1,84 €",,,"14,72 €/kg",,Dulce y Desayuno
Congelados en Charcutería y Quesos al Corte,"
Pechuga de pavo natural asada Frial al corte 150 g aprox",https://www.carrefour.es/supermercado/pechuga-de-pavo-natural-asada-frial-al-corte-150-g-aprox/R-590503830/p,"2,29 €",,,"15,30 €/kg",,Cestas y Lotes
Congelados en Charcutería y Quesos al Corte,"
Jamón cocido extra Campofrío al corte 150 g aprox",https://www.carrefour.es/supermercado/jamon-cocido-extra-campofrio-al-corte-150-g-aprox-campofrio/R-793945569/p,,"
1,49 €","
1,64 €","9,95 €/kg",,Cestas y Lotes
Congelados en Charcutería y Quesos al Corte,"
Pechuga de pavo Campofrío al corte 150 g aprox",https://www.carrefour.es/supermercado/pechuga-de-pavo-campofrio-al-corte-150-g-aprox-campofrio/R-792400183/p,"1,43 €",,,"9,55 €/kg",,Cestas y Lotes
Congelados en Charcutería y Quesos al Corte,"
Jamón cocido extra El Pozo Edición 1954 al corte sin fosfatos, sin gluten  y sin lactosa 150 g aprox",https://www.carrefour.es/supermercado/jamon-cocido-extra-el-pozo-edicion-1954-al-corte-sin-fosfatos-sin-gluten-y-sin-lactosa-150-g-aprox-el-pozo/R-571301473/p,"1,79 €",,,"11,95 €/kg",,Cestas y Lotes
Congelados en Charcutería y Quesos al Corte,"
Pechuga de Pavo Bonnatur Argal al corte 150 g aprox",https://www.carrefour.es/supermercado/pechuga-de-pavo-bonnatur-argal-al-corte-150-g-aprox/R-536500193/p,,"
1,49 €","
1,94 €","9,95 €/kg",,Cestas y Lotes
Congelados en Charcutería y Quesos al Corte,"
Pechuga de pavo braseada artesana Campofrío al corte 150 g aprox",https://www.carrefour.es/supermercado/pechuga-de-pavo-braseada-artesana-campofrio-al-corte-150-g-aprox-campofrio/R-prod800252/p,"2,24 €",,,"14,95 €/kg",,Cestas y Lotes
Congelados en Charcutería y Quesos al Corte,"
Pechuga de pavo braseada El Pozo Edición 1954 al corte sin gluten y sin lactosa 150 g aprox",https://www.carrefour.es/supermercado/pechuga-de-pavo-braseada-el-pozo-edicion-1954-al-corte-sin-gluten-y-sin-lactosa-150-g-aprox-el-pozo/R-832428399/p,"1,79 €",,,"11,95 €/kg",,Cestas y Lotes
Congelados en Charcutería y Quesos al Corte,"
Jamón cocido extra braseado El Pozo Edición 1954 al corte sin gluten 150 g aprox",https://www.carrefour.es/supermercado/jamon-cocido-extra-braseado-el-pozo-edicion-1954-al-corte-sin-gluten-150-g-aprox-el-pozo/R-835367307/p,"1,79 €",,,"11,95 €/kg",,Cestas y Lotes
Congelados en Charcutería y Quesos al Corte,"
Jamón cocido premier braseado Argal al corte 150 g aprox",https://www.carrefour.es/supermercado/jamon-cocido-premier-braseado-argal-al-corte-150-g-aprox-argal/R-700809240/p,"1,34 €",,,"8,95 €/kg",,Cestas y Lotes
