,Productos,Precio/Kg,Precios,PrecioPrevio,Ofertas,Promociones
164,"
Guacamole Carrefour 200 g","
 200 G |
7,95 €/kg","1,59 €",,,2x1 Acumulación
165,"
Guacamole Carrefour 500 g","
 500 G |
6,58 €/kg","3,29 €",,,2x1 Acumulación
166,"
Ensalada César con pollo y queso Florette envase 205 g","
 205 G |
14,39 €/kg","2,95 €",,,2ª al -70%
167,"
Ensalada de pasta y rúcula Florette 320 g","
 320 G |
9,22 €/kg","2,95 €",,,2ª al -70%
168,"
Ensalada gourmet Florette 180 g","
 180 G |
16,39 €/kg","2,95 €",,,2ª al -70%
169,"
Pizza de jamón york y queso 400 g","
 400 G |
6,88 €/kg","2,75 €",,,2x1 Acumulación
170,"
Pizza 4 quesos 495 g","
 495 G. |
9,09 €/kg","4,50 €",,,2x1 Acumulación
171,"
Guacamole picante Carrefour 200 g","
 1 Ud. |
9,25 €/kg","1,85 €",,,2x1 Acumulación
172,"
Pizza de pollo barbacoa 505 g","
 505 G. |
8,91 €/kg","4,50 €",,,2x1 Acumulación
173,"
Ensalada optima Florette 205 g","
 205 G |
15,08 €/kg","2,79 €",,,2ª al -70%
174,"
Pizza 4 quesos 380 g","
 400 G |
7,24 €/kg","2,75 €",,,2x1 Acumulación
175,"
Pizza carbonara 495 g","
 495 G. |
9,09 €/kg","4,50 €",,,2x1 Acumulación
176,"
Rosquita Serrana 200 g","
 200 G. |
1,85 €/ud","1,85 €",,,2x1 Acumulación
177,"
Pizza de jamón serrano 495 g","
 495 G. |
9,09 €/kg","4,50 €",,,2x1 Acumulación
178,"
Paella mixta 350 g","
 350 G |
7,14 €/kg","2,50 €",,,2x1 Acumulación
179,"
Rosca rústica serrana 480 g","
 480 G. |
6,77 €/kg","3,25 €",,,2x1 Acumulación
180,"
Rosquita mixta 205 g","
 205 G. |
1,85 €/ud","1,85 €",,,2x1 Acumulación
181,"
Pizza de jamón york 505 g","
 505 G. |
8,91 €/kg","4,50 €",,,2x1 Acumulación
182,"
Rosquita iberica 1 ud","
 1 Ud |
1,85 €/ud","1,85 €",,,2x1 Acumulación
183,"
Pan de cristal jamón curado 300 g","
 300 G |
10,83 €/kg","3,25 €",,,2x1 Acumulación
184,"
Pan de cristal 4 quesos 300 g","
 300 G |
10,83 €/kg","3,25 €",,,2x1 Acumulación
185,"
Fideuà de marisco 350 g","
 350 G. |
7,14 €/kg","2,50 €",,,2x1 Acumulación
186,"
Pan de cristal barbacoa 300 g","
 300 G |
10,83 €/kg","3,25 €",,,2x1 Acumulación
187,"
Paella familiar mixta 1 kg","
 1 Kg. |
5,99 €/kg","5,99 €",,,2x1 Acumulación
188,,,,,,
189,"
Tortilla de patata con cebolla ecológica 500 g","
 500 G |
8,50 €/kg","4,25 €",,,
190,"
Crema de calabacín y albahaca ecológica Carrefour Bio 1Crema de calabacín y albahaca ecológica Carrefour Bio 1 l.","
 1 L.  |
2,20 €/l","2,20 €",,,
191,"
Tofu natural ecológico Carrefour Bio 400 g.","
 400 G. |
5,12 €/kg","2,05 €",,,
192,"
Caldo de verduras en pastillas ecológico Carrefour Bio pack de 8 unidades de 10 g.","
 Pack 8x10 G. |
12,75 €/kg","1,02 €",,,
193,"
Remolacha rodajas ecológica Carrefour Bio 220 g.","
 220 G. |
5,81 €/kg","1,22 €",,,
194,"
Seitán ecológico Carrefour Bio 250 g.","
 250 G. |
9,96 €/kg","2,49 €",,,
195,"
Pizza margarita ecológica Carrefour Bio 310 g.","
 310 G. |
11,58 €/kg","3,59 €",,,
196,"
Crema de calabaza ecológica Carrefour Bio 500 ml.","
 500 Ml. |
5,20 €/l","2,60 €",,,
197,"
Seitán tofu ecológico Carrefour Bio 250 g.","
 250 G. |
9,16 €/kg","2,29 €",,,
198,"
Crema de verduras ecológica Carrefour Bio 500 ml.","
 500 Ml. |
3,98 €/l","1,99 €",,,
199,"
Crema de siete verduras ecológica Carrefour Bio 1 l. ","
 1 L.  |
2,20 €/l","2,20 €",,,
200,"
Salteado de verduras asadas ecológico Carrefour Bio 600 g.","
 600 G. |
5,17 €/kg","3,10 €",,,
201,"
Pizza rulo de queso de cabra ecológica Carrefour Bio 360 g.","
 360 G. |
11,39 €/kg","4,10 €",,,
202,"
Hamburguesa de tofu y champiñones ecológica Gerblé Bio pack de 2 unidades de 80 g.","
 2x80 G. |
17,25 €/kg","3,45 €",,,3x2
203,"
Hamburguesa de tofu y zanahoria ecológica Gerblé Bio pack de 2 unidades de 80 g.","
 2x80 G. |
17,50 €/kg","3,50 €",,,3x2
204,"
Hamburguesa de tofu y espinacas  ecológica Gerblé Bio pack de 2 unidades de 80 g.","
 2x80 G. |
17,50 €/kg","3,50 €",,,3x2
205,"
Pizza 4 quesos ecológica Carrefour Bio 350 g.","
 350 G. |
11,71 €/kg","4,10 €",,,
206,"
Hamburguesa vegetal de soja con zanahoria ecológica Carrefour Bio 160 g.","
 160 G. |
14,37 €/kg","2,30 €",,,
207,"
Corazones de palmito ecológico Carrefour Bio 250 g.","
 250 G. |
14,80 €/kg","3,70 €",,,
208,"
Falafel ecológico Gerblé Bio 250 g.","
 250 G. |
16,60 €/kg","4,15 €",,,3x2
209,"
Corazones de alcachofas 5/8 ecológicos Carrefour Bio 200 g.","
 200 G. |
21,75 €/kg","4,35 €",,,
210,"
Crema de calabacín ecológica Carrefour Bio 500 ml.","
 500 Ml. |
3,98 €/l","1,99 €",,,
211,"
Hamburguesa de cereales jardinera ecológica Gerblé Bio pack de 2 unidades de 80 g.","
 2x80 G. |
17,94 €/kg","3,05 €",,,3x2
212,"
Tofu frutos secos ecológico Carrefour Bio 235 g.","
 235 G. |
9,74 €/kg","2,29 €",,,
213,,,,,,
214,"
Guacamole Carrefour 200 g","
 200 G |
7,95 €/kg","1,59 €",,,2x1 Acumulación
215,"
Guacamole Carrefour 500 g","
 500 G |
6,58 €/kg","3,29 €",,,2x1 Acumulación
216,"
Ensalada César con pollo y queso Florette envase 205 g","
 205 G |
14,39 €/kg","2,95 €",,,2ª al -70%
217,"
Ensalada de pasta y rúcula Florette 320 g","
 320 G |
9,22 €/kg","2,95 €",,,2ª al -70%
218,"
Ensalada gourmet Florette 180 g","
 180 G |
16,39 €/kg","2,95 €",,,2ª al -70%
219,"
Flautas de pavo, pollo y queso Mesana 280 g","
 280 G. |
5,71 €/kg","1,60 €",,,
220,"
Flautas de bacon y queso Mesana 280 g","
 280 G |
1,60 €/ud","1,60 €",,,
221,"
Guacamole picante Carrefour 200 g","
 1 Ud. |
9,25 €/kg","1,85 €",,,2x1 Acumulación
222,"
Ensalada optima Florette 205 g","
 205 G |
15,08 €/kg","2,79 €",,,2ª al -70%
223,"
Flautas de jamón cocido extra y queso Mesana 280 g","
 280 G. |
5,71 €/kg","1,60 €",,,
224,"
Ensalada pasta y rúcula Carrefour 335 g","
 335 G |
8,21 €/kg","2,75 €",,,
225,"
Gazpacho tradicional ecológico 1 l","
 1 L. |
3,50 €/l","3,50 €",,,
226,"
Ensaladilla rusa 300 g","
 300 G |
2,99 €/ud","2,99 €",,,
227,"
Tabulé oriental 400 g","
 400 G |
3,20 €/ud","3,20 €",,,
228,"
Gazpacho fresco Carrefour 1 l","
 |
3,25 €/l","3,25 €",,,
229,"
Sandwich mixto cremoso Go Ñaming 135 g.","
  135 G. |
7,93 €/kg","1,07 €",,,
230,"
Sandwich Primavera Ñaming 140 g.","
 140 G. |
12,23 €/kg","1,59 €",,,
231,"
Pastel de atún 340 g","
 340 G. |
4,99 €/ud","4,99 €",,,
232,"
Tabulé con pollo 400 g","
 400 G |
3,20 €/ud","3,20 €",,,
233,"
Sandwich de atún, huevo 7y lechuga Delicious Ñaming 200 g.","
 200 G. |
14,94 €/kg","2,39 €",,,
234,"
Guacamole Carrefour Bio tarrina 250 g","
 250 G |
12,45 €/kg","2,49 €",,,
235,"
Ensaladilla rusa 800 g","
 800 G |
6,99 €/ud","6,99 €",,,
